Name,Funding Round,First Funding Date,Raised Amount,Valuation Amount,Investors
Raiinmaker,Seed,3 Apr 2024,$ 7.50M,N/A,"Jump Capital, Cypher Capital, MEXC, Gate.io"
Satoshisync,Undisclosed,3 Apr 2024,N/A,N/A,"ZBS CAPITAL, Maven Capital, MH Ventures, Chainlink"
Legitimate,Seed,3 Apr 2024,$ 4.30M,N/A,"Lemniscap, Sfermion, Draper Associates, Verbal"
Mangata,Undisclosed,3 Apr 2024,$ 5.00M,$ 80M,"Polychain Capital, CMS Holdings, Master Ventures, Token Metrics"
Bonus-Block,Undisclosed,2 Apr 2024,$ 2.30M,N/A,"ZBS CAPITAL, Rarestone Capital, Faculty Group, Laser Digital"
Iotex,Undisclosed,2 Apr 2024,$ 50.00M,N/A,"Amber Group, Borderless Capital, SNZ Holding, Waterdrip Capital"
Autolayer,Seed,2 Apr 2024,$ 2.50M,N/A,"Morningstar Ventures, KuCoin Labs, Spark Digital Capital, BlackEdge Capital"
Camp-Network,Seed,2 Apr 2024,$ 4.00M,N/A,"Maven 11 Capital, OKX Ventures, HTX Ventures, Moonrock Capital"
Agoradollar,Seed,2 Apr 2024,$ 12.00M,N/A,"DragonFly Capital, Robot Ventures"
Rumby-Stars,Undisclosed,2 Apr 2024,$ 10.00M,N/A,"The Spartan Group, Animoca Brands, Shima Capital, Hashed Fund"
Soai,Angel,2 Apr 2024,$ 5.00M,N/A,XForce Capital
Deeplink,Undisclosed,2 Apr 2024,$ 8.00M,N/A,"Gobi Partners, Bigger Than Race, DeepBrainChain"
Moongate,Seed,2 Apr 2024,$ 2.70M,N/A,"CMCC Global, Titan Capital, GBV Capital, Token Bay Capital"
Metados,Undisclosed,2 Apr 2024,$ 2.45M,N/A,"Avalon Wealth Club, Kangaroo Capital, AZA Ventures"
Xraders,Seed,2 Apr 2024,$ 2.10M,N/A,"GBV Capital, FBG Capital, Icetea Labs, Basics Capital"
Bsx,Undisclosed,1 Apr 2024,N/A,N/A,"CMS Holdings, Kyros Ventures, Saison Capital, Base Ecosystem Fund"
Lockchain-Ai,Seed,1 Apr 2024,$ 4.60M,N/A,"Lerer Hippeau, Arrington XRP Capital, White Star Capital, Arca"
Burnt-Finance,Series A,1 Apr 2024,$ 25.00M,$ 500M,"The Spartan Group, Multicoin Capital, Animoca Brands, Mechanism Capital"
